key_name,fr_CA,comment
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Veuillez revoir les paramètres et une fois que vous avez confirmé que tout est configuré correctement, cliquez sur le bouton <strong> « Vérifier les liens de rappel HTTP créés » </strong>. Magento va chercher les liens de rappel HTTP créés dans TreviPay en fonction de la <strong> clé API </strong> actuellement configurée (ou <strong> clé API bac à sable </strong> si le <strong> Mode bac à sable </strong> est réglé sur « Oui ») </p> <p> Si les liens de rappel HTTP ne sont pas créés dans TreviPay, cliquez sur le bouton <strong> « (Re)créer des liens de rappel HTTP »</strong>. Les liens de rappel HTTP seront re(créés) selon la configuration actuelle du module TreviPay.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,L'identifiant d'un site web client n'a pas été précisé. L'ID doit être spécifié pour utiliser la portée du site web.,
Accepted Currency,Devise acceptée,
Accounts Payable Integration,Intégration des comptes fournisseurs,
Active buyers only,Acheteurs actifs uniquement,
Adjustment Fee,Frais d'ajustement,
Adjustment Refund,Remboursement d'ajustement,
All customers,Tous les clients,
Already have account?,Vous avez déjà un compte ?,
Amount mismatch in refund details. The provided detail amounts do not add up to the subtotal of the refund.,Décalage de montant dans les détails du remboursement. Les montants détaillés fournis ne correspondent pas au sous-total du remboursement.,
"An error occurred with the following message: ""%1"". Please check the exception log for more details.","Une erreur s'est produite avec le message suivant : ""%1"". Veuillez consulter le journal des exceptions pour plus de détails.",
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Une erreur s'est produite avec le message suivant : ""%1"". Veuillez activer le mode de débogage, réessayer et vérifier le journal de débogage pour plus de détails.",
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Tous les champs TreviPay vides seront remplis lorsque le client Magento se connectera à l'application de paiement TreviPay, ou lorsque le statut du client et de l'acheteur TreviPay ne sera plus en attente.",
API Key,Clé API,
API key does not match your webhooks API key,La clé API ne correspond pas à votre clé API pour les liens de rappel HTTP,
API key matching webhooks,Clé API correspondant aux liens de rappel HTTP,
API URL,URL de l'API,
API URL is not set.,L'URL de l'API n'est pas définie.,
Apply for %1,Postuler à TreviPay,
Apply for Credit,Faire une demande de crédit,
Apply for TreviPay,Appliquer pour %1,
Apply Now,Candidater maintenant,
Approval for a Line of Credit,Approbation d’une ligne de crédit,
Approved Limit,Limite approuvée,
Are you sure you want to delete the webhooks?,Êtes-vous sûr·e de vouloir supprimer les liens de rappel HTTP?,
authorization,autorisation,
Authorization transaction is required to void.,Une transaction d'autorisation est nécessaire pour annuler.,
Authorize Only,Autoriser seulement,
Authorized,Autorisé,
Availability,Disponibilité,
Available,Disponible,
Balance,Solde,
Base URL matching webhooks Base URL,URL de base correspondant aux liens de rappel pour l'URL de base,
Base URL not matching webhooks Base URL,URL de base ne correspondant pas aux liens de rappel HTTP pour l'URL de base,
Business Name,Nom de l'entreprise,
Buyer ID (first 8 characters),Identifiant de l'acheteur (8 premiers caractères),
Cancel,Annuler,
Cannot link account. You are not permitted to purchase.,Impossible de lier le compte. Vous n'êtes pas autorisé à acheter.,
Cannot void the authorization transaction because its status is %1.,Impossible d'annuler la transaction d'autorisation car son statut est %1.,
Cannot void the authorization transaction.,Impossible d'annuler la transaction d'autorisation.,
charge,frais,
Check Created Webhooks,Vérifier les points d'ancrage Web créés,Check Created Webhooks
Client Reference ID,ID de référence du client,
Close,Fermer,
Company Wide Purchasing,Achats à l'échelle de l'entreprise,
Connect with Purchase Orders,Connexion avec les bons de commande,
"Continuing to Apply will complete your checkout, placing the order as 'Pending' and will be automatically processed after a successful credit application approval and activation.","En continuant à faire votre demande, vous terminerez votre commande en la plaçant « en attente » et elle sera automatiquement traitée après l'approbation et l'activation de la demande de crédit.",
"Continuing to Apply will complete your checkout, placing the order as “Pending” and will be automatically processed after a successful credit application approval and activation.","Continuer à postuler complétera votre paiement, en passant la commande comme « En attente » et sera traitée automatiquement après une approbation et activation réussies de la demande de crédit.",
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Une erreur de code s’est produite lors du paiement TreviPay %1. Veuillez consulter le journal des exceptions pour plus de détails.,
Could not assign an unique client reference id to the customer.,Impossible d'attribuer un numéro de référence client unique au client.,
"Could not save an invoice, see error log for details",Impossible d’enregistrer une facture; voir le journal des erreurs pour plus de détails.,
Created Webhooks,Points d'ancrage Web créés,
Credit Information,Informations sur le crédit,
CreditMemo not found,CreditMemo introuvable,
Currency,Devise,
Customer redirected to the TreviPay credit application form.,Le client est redirigé vers le formulaire de demande de crédit TreviPay.,
Debug,Déboguer,
Delete Webhooks,Supprimer les liens de rappel HTTP,
Direct Charge,Frais directs,
Easy Checkout,Paiement facile,
Enabled,Activé,
Error occurred during generating uuid,Une erreur s'est produite lors de la génération de l'uuid,
Fast Approval,Approbation rapide,
Features,Caractéristiques,
Flexible Terms,Conditions flexibles,
Forget Me,Oublie-moi,
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.",Attendez ! Votre crédit est actuellement insuffisant pour cet achat. Ne vous inquiétez pas. Visitez %1 pour demander une augmentation de votre ligne de crédit.,
How it works,Comment ça marche,
"If you already have an account with us, please Sign In instead of applying for a new credit application.","Si vous avez déjà un compte chez nous, veuillez vous connecter au lieu de faire une nouvelle demande de crédit.",
"If you already have an account with us, please sign in instead of applying for a new credit application.","Si vous avez déjà un compte chez nous, veuillez vous connecter au lieu de faire une nouvelle demande de crédit.",
"If you have just applied and haven’t activated the account yet, any pending orders may not be processed correctly.","Si vous venez de vous inscrire et que vous n'avez pas encore activé votre compte, il se peut que les commandes en cours ne soient pas traitées correctement.",
Invalid amount for a refund.,Montant non valide pour un remboursement.,
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Montant non valide pour un remboursement. Le montant du remboursement ne peut être supérieur au montant payé.,
Invalid charge ID. The specified charge ID does not exist or cannot be used for a refund.,Pièce d’identité invalide. L’identifiant de charge spécifié n’existe pas ou ne peut pas être utilisé pour un remboursement.,
Invalid discount amount. The discount value does not match the discount total in the refund details.,Montant de rabais invalide. La valeur du rabais ne correspond pas au total du rabais dans les détails du remboursement.,
Invalid refund amount. The requested refund exceeds the original charge amount.,Montant de remboursement invalide. Le remboursement demandé dépasse le montant initial des frais.,
Invalid refund request. The submitted data failed validation: %1.,Demande de remboursement invalide. Les données soumises ont échoué à la validation : 1%.,
Invalid shipping amount. The provided shipping amount does not match the expected calculation.,Montant d’expédition invalide. Le montant d’expédition fourni ne correspond pas au calcul attendu.,
Invalid shipping tax amount. The shipping tax does not match the sum of tax amounts in the shipping-related details.,Montant de taxe d’expédition invalide. La taxe d’expédition ne correspond pas à la somme des montants d’impôt dans les détails liés à l’expédition.,
Invalid tax amount. The tax value does not match the total tax calculated from the refund details.,Montant d’impôt invalide. La valeur fiscale ne correspond pas au total calculé à partir des détails du remboursement.,
Invalid tax details. The supplied tax information does not match the expected tax structure.,Détails fiscaux invalides. Les informations fiscales fournies ne correspondent pas à la structure fiscale attendue.,
Invalid total amount. The total refund amount does not match the sum of its detailed components.,Montant total invalide. Le montant total du remboursement ne correspond pas à la somme de ses composantes détaillées.,
Invoice not found,Facture introuvable,
Invoicing Your Way,La facturation à votre façon,
Looking to unlink your %1 from this account? Please click <a %2><span>Forget Me</span></a>,"Vous cherchez à délier votre TreviPay de ce compte? Veuillez cliquer <a %2=""""><span>sur Oublie-moi</span></a>",
Looking to unlink your TreviPay from this account? Please click <a %2><span>Forget Me</span></a>,Vous souhaitez dissocier votre %1 de ce compte ? Veuillez cliquer sur <a %2><span>Oublie-moi</span></a>,
M2 Customer does not have a TreviPay Buyer ID assigned.,Le client M2 n’a pas d’identifiant d’acheteur TreviPay assigné.,
"Make sure the URL ends with '/' (slash), an example text to be either my_program.b2b.credit/ OR my_program.trevipay.app/","Assurez-vous que l'URL se termine par « / » (barre oblique), un exemple de texte soit my_program.b2b.credit/ OU my_program.trevipay.app/",
"Make sure to ""Save Config"" before using this button",Assurez-vous de « Sauvegarder la configuration » avant d’utiliser ce bouton,
Maximum Order Total,Total maximum de la commande,
Minimum Order Total,Total minimum de la commande,
Missing shipping tax details. Shipping tax information is required for this refund.,Il manque des détails sur la taxe d’expédition. Des informations sur la taxe d’expédition sont requises pour ce remboursement.,
Missing tax details. Tax information is required for this refund.,Il manque des détails fiscaux. Les informations fiscales sont requises pour ce remboursement.,
New Order Status,Statut de la nouvelle commande,
Notes,Notes,
"Oh no! Your %3 account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","Oh non! Votre compte TreviPay est inactif. Cela peut s’expliquer par plusieurs raisons, veuillez visiter <a href=""%1"">%2</a> pour régler ce problème.",
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","Oh non! Votre compte %3 est inactif. Cela peut être dû à de nombreuses raisons, veuillez visiter <a href=""%1""> %2 </a> pour résoudre ce problème.",
Order has no payment method.,La commande n’a pas de méthode de paiement.,
Order is not associated with the provided customer.,La commande n’est pas associée au client fourni.,
Order payment method is not %1.,La méthode de paiement de commande n’est pas TreviPay.,
Order payment method is not TreviPay.,Le mode de paiement de la commande n’est pas %1.,
Page not found.,Page introuvable,
Partial invoice is not possible because a Gift Card had been used.,"Une facture partielle n’est pas possible, car une carte cadeau a été utilisée.",
Partial invoice is not possible because Store Credits had been used.,"Une facture partielle n’est pas possible, car des crédits de magasin ont été utilisés.",
Payment Action,Action de paiement,
Payment capturing error.,Erreur de capture de paiement.,
Payment from Applicable Countries,Paiement à partir des pays concernés,
Payment from Specific Countries,Paiement à partir de pays spécifiques,
Payment method is not enabled,La méthode de paiement n'est pas activée,
Payment Method Logo,Logo du mode de paiement,
Payment not found,Paiement introuvable,
Payment refund error.,Erreur de remboursement de paiement.,
Payment voiding error.,Erreur d'annulation de paiement.,
Payment voiding error. Received status %1,Erreur d'annulation de paiement. Statut reçu %1,
Pending Application Approval,En attente d’approbation de la demande,
Place Order,Passer commande,
Please confirm you want to unlink this account from %1. You will be forced to log in again at next checkout when using this payment type.,Veuillez confirmer que vous souhaitez délier ce compte de Trevipay. Vous serez obligé de vous reconnecter lors du prochain paiement en utilisant ce type de paiement.,
Please confirm you want to unlink this account from Trevipay. You will be forced to log in again at next checkout when using this payment type.,"Veuillez confirmer que vous souhaitez dissocier ce compte de %1. Si vous utilisez ce type de paiement, vous serez obligé de vous reconnecter lors de votre prochaine commande.",
Please log in before using this payment method.,Veuillez vous connecter avant d'utiliser ce mode de paiement.,
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Veuillez noter que la méthode de paiement TreviPay a été utilisée pour la commande modifiée. Après avoir modifié la commande, une toute nouvelle transaction de paiement sera créée et, en tant que vendeur, des frais vous seront facturés comme pour toute autre transaction de paiement.",
Please sign in to %1 Checkout,Veuillez vous connecter à TreviPay Checkout,
Please sign in to TreviPay Checkout,Veuillez vous connecter à la caisse %1,
Please sign-in in to %1 Checkout after modifying the cart.,Veuillez vous connecter à TreviPay Checkout après avoir modifié le panier.,
Please sign-in in to TreviPay Checkout after modifying the cart.,Veuillez vous connecter à la caisse %1après avoir modifié le panier.,
Program URL,URL du programme,
Provide Business Info,Fournir des informations sur l'entreprise,
Purchase Order Number,Numéro du bon de commande,
Purchase Order number is invalid or does not match expected format,Le numéro du bon de commande n'est pas valide ou ne correspond pas au format attendu.,
Purchase Order number is required,Le numéro du bon de commande est requis,
Re-apply for %1,Refaire une demande pour TreviPay,
Re-apply for TreviPay,Nouvelle demande pour %1,
Refund error (%1): %2,Erreur de remboursement (1%) : 2%,
Refund error (%1). The system returned an unknown error: %2.,Erreur de remboursement (1%). Le système a renvoyé une erreur inconnue : 2%.,
Refund Offline,Remboursement hors ligne,
Refund Offline is not available,Le remboursement hors ligne n’est pas disponible,
Refund request not permitted. The charge status does not allow refunds.,Demande de remboursement non permise. Le statut des frais ne permet pas les remboursements.,
Refunded shipping '%1' is higher than captured shipping '%2',L'expédition remboursée '%1' est supérieure à l'expédition capturée '%2',
Refunded shipping '%1' is higher than invoiced shipping '%2',Les frais de port remboursés '%1' sont supérieurs aux frais de port facturés '%2',
Sandbox API Key,Clé API du bac à sable,
Sandbox API URL,URL de l'API du bac à sable,
Sandbox Mode,Mode bac à sable,
Sandbox Program URL,URL du programme du bac à sable,
Sandbox Seller ID,ID du vendeur du bac de sable,
Seller ID,ID du vendeur,
Sign In,Se connecter,
Something went wrong in the payment gateway.,Un problème s'est produit au niveau de la passerelle de paiement.,
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Désolé, votre demande a été annulée. Veuillez consulter le site <a href=""%1""> %2 </a> pour l'envoyer à nouveau.",
"Sorry, your application has been declined at this time. You are invited to reapply in 6 months from the initial application date, where we will re-review.","Désolé, votre demande a été refusée pour le moment. Vous êtes invité·e à attendre six mois après la demande initiale pour présenter une nouvelle demande; nous procéderons alors à un nouvel examen.",
"Sorry, your credit application has been denied. Please use another payment method for business purchases.","Désolé, votre demande de crédit a été refusée. Veuillez utiliser un autre mode de paiement pour vos achats professionnels.",
Sort Order,Ordre de tri,
Status,Statut,
Status of the transaction not found.,Statut de la transaction non trouvé.,
Status of the webhooks,Statut des points d'ancrage Web,
The entity that was requested doesn't exist. Verify the entity and try again.,L'entité demandée n'existe pas. Vérifiez l'entité et réessayez.,
The invoice can't be created without products. Add products and try again.,La facture ne peut être créée sans produits. Ajoutez des produits et réessayez.,
There was an error forgetting your %1 Account. Please try again.,Il y a eu une erreur qui a oublié votre compte TreviPay. Veuillez réessayer.,
There was an error forgetting your TreviPay Account. Please try again.,Une erreur s'est produite lors de l'oubli de votre compte %1. Veuillez réessayer.,
There was an error processing your request.,Une erreur s'est produite dans le traitement de votre demande.,
There was an error trying to apply for %1.,Il y a eu une erreur en essayant de demander TreviPay.,
There was an error trying to apply for TreviPay.,Une erreur s'est produite lors de l'introduction de la demande pour %1.,
There was an error trying to sign in. Please contact support',Une erreur s'est produite lors de la connexion. Veuillez contacter le service d'assistance,
Title,Titre,
TreviPay authorized amount of %1.,Le montant autorisé par TreviPay est de %1.,
TreviPay captured amount of %1.,TreviPay a saisi le montant de %1.,
TreviPay does not support multishipping,TreviPay ne prend pas en charge les expéditions multiples,
TreviPay payment %1 error: %2,Erreur de paiement TreviPay %1 : %2,
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car il n'est pas encore enregistré dans TreviPay.,
"TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1"".","La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car son statut d'acheteur TreviPay est ""%1"".",
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".","La méthode de paiement TreviPay n'est actuellement pas disponible pour ce client car son statut de client TreviPay est ""%1"".",
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,Le mode de paiement %1 n'est actuellement pas disponible pour vous. Veuillez consulter la section %1 pour plus de détails.,
TreviPay Portal,Portail %1,
TreviPay Support Number,Numéro d'assistance TreviPay,
TreviPay TreviPayMagento,TreviPay TreviPayMagento,
trevipay-adjustment-fee,%1-frais-d'ajustement,
trevipay-adjustment-refund,%1-ajustement-remboursement,
unknown,inconnu,
Unsupported payment action '%1' detected.,Action de paiement non prise en charge; « %1 »  détectée.,
Up to 45 Days to Pay,Jusqu’à 45 jours pour payer,
validation error,Erreur de validation,
View TreviPay Invoice,Voir la facture de TreviPay,
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Visitez le portail '%1' pour consulter vos factures, augmenter votre ligne de crédit ou effectuer un paiement.",
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Visitez le portail <a href=""%1"">TreviPay</a> pour consulter vos factures, augmenter votre ligne de crédit ou effectuer un paiement.",
"Visit the TreviPay Portal to view your invoices, increase your credit line, or make a payment.","Visitez le portail TreviPay pour consulter vos factures, augmenter votre ligne de crédit ou effectuer un paiement.",
"We are currently reviewing your enrollment application for %1. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","Nous examinons actuellement votre demande d’inscription pour TreviPay. Ce processus prend normalement environ 4 heures ouvrables à compléter. Si nous avons des questions ou une approbation, nous vous contacterons par courriel.",
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","Nous examinons actuellement votre demande d’inscription à %1. Ce processus prend normalement environ quatre heures ouvrables. En cas de questions ou d’approbation, nous vous contacterons par courriel.",
We are not able to create a Credit Memo without an Invoice.,Nous ne sommes pas en mesure de créer une note de crédit sans facture.,
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,Nous sommes désolés ! Une erreur s'est produite et nous voulons la corriger. Veuillez contacter %1 à %2 ou %3,
We are sorry! An error has occurred and we want to fix it. Please contact %1.,Nous sommes désolés ! Une erreur s'est produite et nous voulons la corriger. Veuillez contacter %1.,
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,Nous sommes désolés ! Une erreur s'est produite et nous voulons la corriger. Veuillez nous contacter à %1 ou %2,
We are sorry! An error has occurred and we want to fix it. Please contact us.,Nous sommes désolés ! Une erreur s'est produite et nous voulons la corriger. Veuillez nous contacter.,
Webhooks created,Liens de rappel HTTP créés,
Webhooks created but the module is disabled!,Liens de rappel HTTP créés mais le module est désactivé!,
Webhooks not created!,Les liens de rappel HTTP n’ont pas été créés!,
You are not yet a registered %1 user. You will be redirected to the %1 credit application form after placing this order. Your order will be processed after approval of your %1 credit application and %1 user account is created.,Vous n’êtes pas encore un utilisateur enregistré de TreviPay. Vous serez redirigé vers le formulaire de demande de crédit TreviPay après avoir passé cette commande. Votre commande sera traitée après l’approbation de votre demande de crédit TreviPay et la création de votre compte utilisateur TreviPay.,
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,Vous n'êtes pas encore un utilisateur enregistré %1. Vous serez redirigé vers le formulaire de demande de crédit %1 après avoir passé cette commande. Votre commande sera traitée après l'approbation de votre demande de crédit %1 et la création de votre compte utilisateur %1.,
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Vous avez choisi de retirer votre demande. Vous avez changé d’avis? Visitez le site <a href=""%1""> %2 </a> pour présenter une nouvelle demande à tout moment.",
You did not complete your %1 Credit Application. Please visit the %1 section to re-apply.,Vous n’avez pas complété votre demande de crédit TreviPay. Veuillez consulter la section TreviPay pour postuler à nouveau.,
"You did not complete your %2 Credit Application. Please fill out the form in its entirety, sign and submit at the end.","Vous n’avez pas complété votre demande de crédit TreviPay. Veuillez remplir le formulaire en entier, signer et soumettre à la fin.",
"You did not complete your TreviPay Credit Application. Please fill out the form in its entirety, sign and submit at the end.","Vous n’avez pas rempli votre demande de crédit %2. Veuillez remplir le formulaire dans son intégralité, le signer et l'envoyer à la fin.",
You did not complete your TreviPay Credit Application. Please visit the TreviPay section to re-apply.,Vous n'avez pas rempli votre demande de crédit %1. Veuillez vous rendre dans la section %1 pour renouveler votre demande.,
"You have been approved to make purchases on terms! <span %2>[ACTION REQUIRED]</span> Please now check your email for your activation link to complete the setup then your %1 credit line is ready for use. This link is valid for 7 days. If the email hasn't arrived, do check in your spam/junk mail folder.","Vous avez été approuvé pour effectuer des achats selon des conditions! <span %2="""">[ACTION REQUISE]</span> Veuillez maintenant vérifier votre courriel pour le lien d’activation afin de compléter la configuration, puis votre ligne de crédit Trevipay sera prête à être utilisée. Ce lien est valable pour 7 jours. Si le courriel n’est pas encore arrivé, vérifiez dans votre dossier de pourriels/courriels indésirables.",
"You have been approved to make purchases on terms! <span %2>[ACTION REQUIRED]</span> Please now check your email for your activation link to complete the setup then your Trevipay credit line is ready for use. This link is valid for 7 days. If the email hasn't arrived, do check in your spam/junk mail folder.","Vous avez été autorisé·e à effectuer des achats sous conditions! <span %2> [ACTION REQUISE] </span> Veuillez maintenant vérifier votre boîte aux lettres électronique pour obtenir votre lien d’activation afin de terminer la configuration. Votre ligne de crédit %1 est prête à être utilisée. Ce lien est valable pendant sept jours. Si le courriel n’est pas arrivé, vérifiez dans votre dossier de pourriels.",
Your %1 account has been authorized and linked.,Votre compte TreviPay a été autorisé et lié.,
Your %1 Account has been deleted. Please sign in again.,Votre compte TreviPay a été supprimé. Veuillez vous reconnecter.,
Your %1 buyer account has been suspended. Please contact your company admin to resolve this matter.,Votre compte acheteur TreviPay a été suspendu. Veuillez contacter l’administrateur de votre entreprise pour régler ce problème.,
"Your %1 Credit Application has been approved, and pending setup. <strong>[ACTION REQUIRED]</strong> Please check your email (including spam/junk) to complete the activation via the link within. You can visit the %1 section for further detail.",Votre demande de crédit TreviPay a été approuvée et en attente de mise en place. <strong>[ACTION REQUISE]</strong> Veuillez vérifier votre courriel (y compris le pourriel ou les indésirables) pour compléter l’activation via le lien à l’intérieur. Vous pouvez consulter la section TreviPay pour plus de détails.,
Your %1 Credit Application has been cancelled. Please visit the %1 section to find more details.,Votre demande de crédit TreviPay a été annulée. Veuillez consulter la section TreviPay pour plus de détails.,
Your %1 Credit Application has been declined. Please visit the %1 section for further details.,Votre demande de crédit TreviPay a été refusée. Veuillez consulter la section TreviPay pour plus de détails.,
Your %1 Credit Application has been withdrawn.,Votre demande de crédit TreviPay a été retirée.,
Your %1 Credit Application has been withdrawn. Please visit the %1 section to find more details.,Votre demande de crédit TreviPay a été retirée. Veuillez consulter la section TreviPay pour plus de détails.,
Your %1 Credit Application is pending direct debit. Please visit the %1 section to find more details.,Votre demande de crédit TreviPay est en attente de prélèvement automatique. Veuillez consulter la section TreviPay pour plus de détails.,
Your %1 Credit Application is pending. Please visit the %1 section to find more details.,Votre demande de crédit TreviPay est en attente. Veuillez consulter la section TreviPay pour plus de détails.,
"Your %3 account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Votre compte TreviPay a été suspendu. Cela est probablement dû à des paiements en retard ou à la nécessité d’une augmentation de la ligne de crédit. Veuillez visiter <a href=""%1"">%2</a> pour régler ce problème.",
